feh,13C
-1.89034,296.851
-1.84822,271.841
-1.82801,247.729
-1.80668,238.796
-1.78536,229.863
-1.76403,220.929
-1.74337,203.068
-1.74271,211.996
-1.72204,194.134
-1.70072,185.201
-1.67939,176.268
-1.65807,167.334
-1.63675,158.401
-1.59338,150.356
-1.57206,141.422
-1.52876,132.484
-1.46348,123.541
-1.41985,119.067
-1.33207,117.262
-1.13414,119.003
-0.936275,119.852
-0.760192,123.384
-0.737952,126.95
-0.561804,131.375
-0.451981,130.458
-0.364267,127.76
-0.21147,113.44
-0.102105,106.273
0.0067372,91.9628
0.137622,78.5407
