feh,bulge,thickdisk,halo,solarneighborhood
-1.46977,6931.2,4894.57,4932.04,4000
-1.45061,6779.6,4736.63,4825.38,3880.4
-1.41284,6480.8,4425.33,4615.17,3760.8
-1.39368,6329.2,4267.39,4508.51,3641.2
-1.35802,6047.02,3973.42,4309.99,3528.25
-1.35591,6030.39,3956.1,4298.29,3521.59
-1.33867,5893.95,3813.95,4202.3,3413.95
-1.33675,5878.79,3805.9,4191.64,3401.99
-1.30233,5606.4,3661.24,4000,3328.95
-1.30072,5593.69,3654.49,3991.05,3325.54
-1.28323,5455.29,3580.98,3893.69,3288.42
-1.28174,5443.55,3574.75,3888.48,3285.28
-1.28038,5432.79,3569.97,3883.7,3282.39
-1.26283,5293.91,3508.31,3822.03,3226.8
-1.2454,5156,3441.06,3760.8,3171.6
-1.24262,5133.99,3430.33,3751.99,3162.79
-1.22494,4994.13,3362.13,3696.01,3052.45
-1.22346,4982.39,3357.94,3691.31,3043.19
-1.20763,4857.2,3313.33,3641.2,3009.62
-1.16981,4557.91,3206.67,3508.31,2929.36
-1.16838,4546.66,3202.66,3504.3,2926.34
-1.16709,4536.39,3198.1,3500.64,2923.59
-1.14947,4397.01,3136.21,3450.97,2867.8
-1.1321,4259.59,3075.2,3401.99,2812.8
-1.13056,4247.37,3069.77,3397.1,2807.9
-1.12932,4237.59,3065.85,3393.18,2803.99
-1.09761,3986.71,2965.43,3292.77,2692.59
-1.09434,3960.79,2955.06,3282.39,2681.08
-1.09279,3948.57,2950.17,3272.75,2675.66
-1.07518,3809.19,2894.38,3162.79,2613.77
-1.05898,3681.06,2843.09,3050.84,2556.88
-1.05595,3656.1,2833.5,3029.9,2546.24
-1.05503,3648.46,2830.56,3024.11,2542.98
-1.03964,3521.59,2776.5,2928.05,2488.91
-1.03679,3504.49,2766.51,2910.3,2478.93
-1.01763,3389.19,2699.19,2790.7,2411.61
-0.99847,3273.9,2631.88,2671.1,2344.3
-0.998285,3272.78,2631.23,2669.81,2343.65
-0.998038,3271.29,2578.07,2668.11,2342.78
-0.996925,3264.6,2573.02,2660.41,2338.87
-0.982214,3176.08,2506.16,2558.72,2169.79
-0.979247,3149.67,2492.68,2538.21,2135.69
-0.97727,3132.07,2483.69,2527.2,2112.96
-0.962806,3003.32,2417.96,2446.69,2052.18
-0.960148,2983.18,2405.88,2431.89,2041.01
-0.960025,2982.24,2405.32,2431.42,2040.49
-0.940308,2832.78,2166.11,2355.35,1957.64
-0.939319,2825.28,2161.62,2351.53,1953.49
-0.924237,2710.96,2093.08,2293.35,1895.3
-0.922259,2695.97,2084.09,2285.71,1887.67
-0.904952,2564.78,2005.43,2201.15,1820.9
-0.903222,2549.95,1997.57,2192.69,1814.22
-0.902295,2542,1993.36,2189.11,1810.65
-0.901429,2534.58,1987.37,2185.78,1807.31
-0.883072,2377.21,1860.47,2114.95,1749.17
-0.866198,2232.56,1732.56,2049.85,1695.73
-0.865333,2226,1726,2046.51,1692.99
-0.863787,2214.29,1714.29,2042.15,1688.1
-0.863664,2213.35,1687.71,2041.81,1687.71
-0.863417,2211.47,1634.55,2041.11,1686.92
-0.846913,2086.38,1591.85,1994.58,1634.66
-0.825898,1920.11,1537.47,1935.32,1568.11
-0.808777,1784.64,1493.17,1887.04,1507.96
-0.808282,1780.73,1491.89,1885.65,1506.22
-0.788751,1581.4,1441.35,1830.58,1437.6
-0.788071,1577.38,1439.59,1828.66,1435.22
-0.771073,1477.02,1395.61,1780.73,1395.19
-0.750491,1355.48,1342.35,1741.87,1346.72
-0.750429,1355.24,1342.19,1741.75,1346.57
-0.731639,1280.59,1302.33,1706.28,1302.33
-0.714765,1213.55,1266.52,1674.42,1266.52
-0.693626,1129.57,1221.67,1622.18,1221.67
-0.677123,1071.59,1186.66,1581.4,1186.66
-0.675268,1065.08,1182.72,1578.76,1182.72
-0.636885,930.233,1101.29,1524.29,1121.49
-0.60221,864.765,1027.71,1475.08,1066.18
-0.600294,861.147,1023.65,1471.69,1063.12
-0.581318,825.321,983.389,1438.08,1038.87
-0.580576,823.92,982.336,1436.77,1037.92
-0.564691,790.217,959.793,1408.64,1017.62
-0.506714,667.206,877.515,1305.96,943.522
-0.505416,664.452,875.673,1303.66,942.138
-0.487677,645.54,850.498,1272.24,923.226
-0.39453,546.234,757.783,1107.28,823.92
-0.394221,545.905,757.475,1106.73,823.638
-0.393232,544.85,756.491,1104.98,822.733
-0.263741,471.052,627.599,875.653,704.319
-0.206691,438.538,570.813,774.617,663.704
-0.0957429,346.439,460.379,578.128,584.718
-0.0946303,345.515,459.272,576.157,584.024
0.053527,263.417,311.8,313.77,491.694
0.0732442,252.492,292.174,278.851,474.861
0.146921,230.594,218.838,148.369,411.96
0.296809,186.047,69.6444,-117.084,283.995
