t,model1
2.52164,2549.19
2.55439,2508.81
2.58713,2468.44
2.61988,2432.1
2.63626,2391.71
2.66901,2351.34
2.68538,2310.95
2.71813,2270.57
2.7345,2230.19
2.75088,2189.81
2.78363,2149.43
2.81637,2109.05
2.83275,2072.71
2.8655,2032.33
2.89825,1991.95
2.93099,1951.57
2.96374,1911.19
2.99649,1874.85
3.02924,1834.48
3.07836,1794.1
3.11111,1753.72
3.16023,1717.39
3.19298,1677.01
3.24211,1640.68
3.29123,1600.3
3.35673,1563.97
3.40585,1523.6
3.45497,1487.26
3.52047,1446.9
3.60234,1394.42
3.68421,1358.09
3.74971,1321.76
3.83158,1285.43
3.89708,1249.1
3.99532,1216.82
4.07719,1184.54
4.17544,1148.22
4.25731,1115.93
4.35556,1083.65
4.47018,1055.41
4.56842,1023.13
4.66667,998.923
4.78129,974.723
4.91228,942.451
5.0269,918.251
5.15789,894.057
5.28889,869.862
5.41988,845.667
5.55088,825.511
5.69825,805.36
5.84561,785.208
5.99298,765.057
6.14035,748.944
6.28772,732.832
6.43509,716.719
6.58246,700.607
6.7462,684.499
6.90994,672.43
7.05731,660.356
7.20468,648.282
7.36842,636.213
7.51579,624.139
7.67953,616.109
7.8269,604.035
7.97427,596
8.13801,587.97
8.28538,575.896
8.44912,571.904
8.59649,559.831
8.76023,551.8
9.08772,539.778
9.25146,535.787
9.5462,519.717
9.70994,511.686
9.85731,507.69
10.0211,499.66
10.1848,495.668
10.3322,491.672
10.4959,483.642
10.6596,479.65
10.8234,475.659
10.9544,471.658
11.1181,467.666
11.2819,463.675
11.4456,455.644
11.593,451.648
11.7567,447.657
11.9205,439.626
12.0678,439.669
12.2316,439.716
12.3953,435.724
12.5427,431.728
12.7064,431.775
12.8702,427.784
13.0339,427.831
13.1813,423.835
13.345,423.882
13.6725,419.938
